Row,steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle
mt/set_11/frenetic/test-262,44.81024896,-22.57273958,0.044260274,-27.7736272,0.261335426,96.99770599,39.85208791,-333.8906938,158.9886371,112.3318913
mt/set_11/frenetic/test-385,79.64245059,-201.0890923,0.394292338,-27.75580823,0,487.9471764,19.21824439,-129.5680811,168.789715,49.55308965
mt/set_11/frenetic/test-810,29.22121329,-47.28770111,0.092720983,-27.77090022,0.258107253,41.06267375,24.88260997,-340.513965,188.4332009,89.92331217
mt/set_11/frenetic/test-127,57.7148949,-3.84811847,0.00754533,-27.7724251,0.201661233,146.0715538,80.86097335,-334.8698793,188.913133,92.53465002
mt/set_11/frenetic/test-46,77.53469566,-101.425132,0.198872808,-27.76939884,0.185977052,89.57283411,43.4719163,-13.46956424,168.7499027,14.17103458
mt/set_11/frenetic/test-742,0,221.4400586,-0.259075379,-27.79917021,0,122.6972259,330.0435043,-41.14109322,179.1358602,102.7181922
mt/set_11/frenetic/test-75,56.52050985,-0.874984191,0.001715655,-27.77519078,0,176.9109662,64.24494155,-326.2390419,169.0215664,125.3816283
mt/set_11/frenetic/test-542,84.91583693,-92.72124213,0.181806357,-27.76633047,0.222871187,223.0466971,62.32889682,-326.1137037,178.7640051,117.022435
mt/set_11/frenetic/test-911,64.5783548,-60.40273442,0.118436734,-27.77515936,0,153.3027879,37.23733354,-332.708312,149.2258987,118.8816524
mt/set_11/frenetic/test-190,56.15442939,66.05203087,-0.124128569,-27.77621601,0.066081224,303.1832871,110.5282045,-344.6776664,139.8222469,152.8923737
mt/set_11/frenetic/test-692,73.27570136,-89.17067319,0.174844457,-27.76506608,0.256135777,242.2681696,28.32275099,-299.8555385,129.0864186,127.0643887
mt/set_11/frenetic/test-98,26.34127763,-14.24319629,0.03506781,-27.77606513,0.17287592,316.7259624,93.41728759,-343.8739602,159.0440493,127.2188899
mt/set_11/frenetic/test-479,42.60597454,-35.03304569,0.075309544,-27.77490381,0.252723936,86.35000844,31.39662904,-353.4800006,138.9449046,132.9453335
mt/set_11/frenetic/test-50,118.6834132,-113.1026808,0.221769962,-27.76476417,0.243008298,204.1485095,27.70309076,-277.9189814,158.9528191,108.9046767
mt/set_11/frenetic/test-236,90.86696581,-54.55494573,0.106970482,-27.77378692,0.166929605,144.6632105,63.65115148,-299.7506134,149.5747846,111.2620368
mt/set_11/frenetic/test-2,38.8549112,4.327017795,-0.003044819,-27.77390561,0,210.3675624,63.41229866,-323.4845209,139.1124785,124.1692978
mt/set_11/frenetic/test-42,129.3955699,-189.1453201,0.370873177,-27.76193537,0.266992807,146.3033421,43.22348889,-343.0953974,159.2537316,105.5159978
mt/set_11/frenetic/test-564,64.80436938,-14.12690297,0.02769981,-27.77114042,0,192.1394604,46.53378823,-280.2240538,139.4954368,116.0238074
mt/set_11/frenetic/test-507,67.24985508,-93.87081773,0.184060427,-27.76151775,0.24826435,143.6568249,342.5178154,-343.5819759,158.8152051,162.8082159
mt/set_11/frenetic/test-295,67.14639999,-53.12408197,0.104164867,-27.76748441,0.11545951,68.06330291,51.64118471,-345.4345085,149.2534367,105.8376924
mt/set_11/frenetic/test-7,101.1046769,-285.1572648,0.559131892,-27.76219042,0,205.9370897,298.1171478,-56.87888302,189.4015263,90.91495306
mt/set_11/frenetic/test-260,72.23994111,-15.63207834,0.030651134,-27.76973983,0,218.4362083,56.29717747,-258.5694071,149.4844228,94.79904271
mt/set_11/frenetic/test-578,33.85171715,22.49113165,-0.037743655,-27.7759887,0,473.753849,50.08853979,-239.9387214,129.6340917,101.5815813
mt/set_11/frenetic/test-792,43.01359637,0.435105879,0.000451787,-27.77634088,0.223803112,159.2226435,71.9656379,-329.13031,129.5408783,120.9192392
mt/set_11/frenetic/test-261,92.55489063,-184.8402001,0.362431765,-27.76831903,0,140.8683098,50.00168251,-324.4500213,159.2269647,111.3107946
mt/set_11/frenetic/test-443,89.52058038,-287.2834136,0.563300811,-27.76099568,0.250740602,171.0442552,2.279967025,-62.1397722,129.0510961,21.90711127
mt/set_11/frenetic/test-59,165.3869883,-510,1,-27.7942963,0,344.7550595,27.47748329,-107.2603349,199.0804279,41.04932033
mt/set_11/frenetic/test-940,120.5171177,-277.3448597,0.54381345,-27.76100394,0.271293199,54.75951604,29.94052604,-30.84797612,139.15241,21.53558963
mt/set_11/frenetic/test-390,77.66709803,-114.8853381,0.225265369,-27.76613946,0.167373992,177.4935932,71.8933072,-352.8675139,158.8592706,118.5959911
mt/set_11/frenetic/test-907,62.77295299,-3.135828196,0.006148683,-27.77265893,0,264.9351797,73.72605706,-253.1237659,149.3639931,92.31280283
mt/set_11/frenetic/test-95,33.92747624,5.184041664,-0.004596758,-27.77719072,0,377.1729484,50.86965605,-237.4865005,129.4548212,108.0615167
